measure,quantile,infections,cancers,group,n_ranked,n_infections,n_cancers,cancers_unattributed_frac,spearman_theta_vs_rships,spearman_theta_vs_rship_rate,Seed
direct,0.2,0.37385228356678163,0.43013572880466855,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
direct,0.5,0.6514881629103891,0.6933315848141105,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen0,0.01,0.060952602959267174,0.08209298705216014,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen1,0.01,0.12423251833994871,0.13231920941285283,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen2,0.01,0.1728508970510644,0.18379125306101696,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen3,0.01,0.21806090097273012,0.21854308016401858,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen0,0.02,0.09308380031999387,0.1220247998543754,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen1,0.02,0.18460863226595384,0.1967084427477016,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen2,0.02,0.25274211450747475,0.2661465279725295,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen3,0.02,0.3132202985810058,0.3135532651379504,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen0,0.05,0.16271309759560498,0.20621601737306272,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen1,0.05,0.3076778159833634,0.32483121464324965,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen2,0.05,0.4062135565329229,0.4198413889542556,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen3,0.05,0.487544149389125,0.4796407498879435,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen0,0.1,0.24732677543166026,0.29716089465477846,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen1,0.1,0.4417812645961738,0.4595764861065191,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen2,0.1,0.5604595804277914,0.5732083859275489,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen3,0.1,0.6493834636946061,0.6384500074179699,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen0,0.2,0.37412782272592043,0.4304636408040142,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen1,0.2,0.6151322983369004,0.635630513694136,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen2,0.2,0.7353965093920626,0.7431644500737006,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
downstream_gen3,0.2,0.8126142069246632,0.8027670933475775,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
gini,,0.10256588440373882,,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
direct,0.01,0.058372763364076756,0.08577037638776062,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
direct,0.02,0.089844375450203,0.12279989168697536,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
direct,0.05,0.15907639333826,0.19943135662063363,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
direct,0.1,0.2434603929467198,0.29285134037367994,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
direct,0.2,0.37168996875610466,0.4266856214459789,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
direct,0.5,0.6507891609015273,0.6910370972109396,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen0,0.01,0.05790196196873644,0.08461956027036563,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen1,0.01,0.12081021388834588,0.13193882013567806,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen2,0.01,0.1680375800160979,0.19063095142111353,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen3,0.01,0.2129915447944407,0.2227186916038176,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen0,0.02,0.09030370704341269,0.12320608025496524,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen1,0.02,0.18256601437385128,0.19306799487515847,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen2,0.02,0.24959584731684706,0.2690225191863429,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen3,0.02,0.3108905419977078,0.3133631748039686,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen0,0.05,0.1596078161948833,0.2001083429812076,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen1,0.05,0.30553357844500306,0.3149201719753709,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen2,0.05,0.4044167231699026,0.4212023411770525,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen3,0.05,0.4872624198131648,0.4830084646200827,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen0,0.1,0.24378061915567642,0.2929190872140498,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
